tweet_id,retweet_count,favorite_count
892420643555336193,7699,36161
892177421306343426,5694,31183
891815181378084864,3777,23486
891689557279858688,7859,39432
891327558926688256,8475,37640
891087950875897856,2837,18966
890971913173991426,1847,11043
890729181411237888,17186,60902
890609185150312448,3911,26109
890240255349198849,6685,29842
890006608113172480,6674,28731
889880896479866881,4542,26148
889665388333682689,9112,44983
889638837579907072,4084,25321
889531135344209921,2056,14177
889278841981685760,4858,23594
888917238123831296,4097,27244
888804989199671297,3865,23953
888554962724278272,3176,18486
888078434458587136,3161,20393
887705289381826560,4909,28324
887517139158093824,10730,43411
887473957103951883,16384,64347
887343217045368832,9542,31514
887101392804085760,5437,28670
886983233522544640,6992,32708
886736880519319552,2931,11223
886680336477933568,4078,21042
886366144734445568,2887,19802
886267009285017600,4,110
886258384151887873,5758,26201
886054160059072513,100,0
885984800019947520,6121,30503
885528943205470208,5824,33661
885518971528720385,3404,19176
885311592912609280,16878,0
885167619883638784,3985,20500
884925521741709313,16498,72136
884876753390489601,5086,26073
884562892145688576,4288,22759
884441805382717440,5196,25377
884247878851493888,18518,67963
884162670584377345,2732,19111
883838122936631299,3134,20469
883482846933004288,9008,42919
883360690899218434,3373,21229
883117836046086144,6055,34750
882992080364220416,3553,22359
882762694511734784,4460,26482
882627270321602560,5541,26221
882268110199369728,10556,41983
882045870035918850,4459,27452
881906580714921986,3102,22795
881666595344535552,9737,47416
881633300179243008,7,117
881536004380872706,14565,46322
881268444196462592,4812,21770
880935762899988482,2546,16004
880872448815771648,3493,19930
880465832366813184,5675,26696
880221127280381952,3803,25240
880095782870896641,3961,25865
879862464715927552,3196,20962
879674319642796034,10,297
879492040517615616,2909,21998
879415818425184262,40534,99082
879376492567855104,2859,15744
879130579576475649,6212,0
879050749262655488,4286,21108
879008229531029506,2449,17806
878776093423087618,3734,18151
878604707211726852,6491,28233
878404777348136964,1177,0
878316110768087041,6087,0
878281511006478336,1177,7253
878057613040115712,6212,39483
877736472329191424,17326,74334
877611172832227328,73,0
877556246731214848,3485,21276
